_id,first_name,last_name,username,email,address,salutation,role,job_title,is_active,is_manager,hired_date,created_on,updated_on,__v,password,access_token,refresh_token,manager_name
687f3a3dd904e50053ec1c1b,John,Doe,john_doe,john@example.com,123 Main St,Mrs.,SALES_MGR,Admin,false,false,Mon Jan 01 2024 07:00:00 GMT+0700 (Indochina Time),Tue Jul 22 2025 14:14:05 GMT+0700 (Indochina Time),Wed Jul 23 2025 15:57:22 GMT+0700 (Indochina Time),0,Ltson123456@,eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCJ9.eyJfaWQiOiI2ODdmM2EzZGQ5MDRlNTAwNTNlYzFjMWIiLCJyb2xlIjoiVVNFUl9BRE1JTiIsImlhdCI6MTc1MzI2MTA0MiwiZXhwIjoxNzUzNDMzODQyfQ.CuUNJKOFOwXijqKK9okFzd2ueE5kNuWxdv-hZK7C_aSdS5Kcx3RacBCnrCYdpyo7aIVFOBuaQ7PThmvAdQlE53lD1m_5_jVZUCrKWhR2rm77d4zAJ01fSY6l7wQMMWKsMHQ_VUg7IKZEcsSeYCQIUYfeROXpTFqUreDrTl50Qnua1PFzMi-qHsGCYhPHio6KMsIGdTnxarO3cyHl3yPZ2t91mFeVOBTdGrER1pUm8bNovgTZ7j-NuInaomdEKDVxgKhby6ziEgFcNdyw-O89eaPr4oorWUYiG0GwRQmvJMXhoo3fG-A0XxMV8HBqjwUz0JYjYHtCpLMm5_YaeR21Iw,eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCJ9.eyJfaWQiOiI2ODdmM2EzZGQ5MDRlNTAwNTNlYzFjMWIiLCJyb2xlIjoiVVNFUl9BRE1JTiIsImlhdCI6MTc1MzI2MTA0MiwiZXhwIjoxNzUzODY1ODQyfQ.myVVCk9yLSfyRHOlV527yhajNNYuJy4cZpxFfd2UCioZROh_nHpqIIL4iU9kuxFVETcoYr5gKA-wx4IeBD8rTHAHSpZLijxVxnI2ZRe7qNWR5DBqGRG39WIqfKAd0IJfWXD0SE12fG2g-PFqsnRLRwuhFR3bQPwo4v9x5IOyPODW_APOzOOF88CA27RxMkJQegVhMbOSC1JGahuHqx-WrpqHEwvDuxFbIunCZhPj59NEA68jhp8-W3IfOKIGWLei7i2UFLsJpAUbPC5kqwSuJR4_-M8PRF8gLXiOcZ3wACRKmPNP1lRfBpqAX17eGulpLzEyRsS6ERFT5PL3tduEpw,John Doe
687f3a3dd904e50053ec1c1c,Alice,Nguyen,alice_nguyen,alice@example.com,456 Elm St,Mr.,SALES_EMP,Sales Executive,true,false,Thu Feb 15 2024 07:00:00 GMT+0700 (Indochina Time),Tue Jul 22 2025 14:14:05 GMT+0700 (Indochina Time),Tue Jul 22 2025 14:14:05 GMT+0700 (Indochina Time),0,Ltson123456@,Alice Nguyen
68804ad3044872fdf1ac86a0,Michael,Tran,michael_tran,Ltson123456@,michael@example.com,789 Oak St,Mr.,SALES_MGR,Sales Manager,false,false,Mon Nov 20 2023 07:00:00 GMT+0700 (Indochina Time),Wed Jul 23 2025 09:37:07 GMT+0700 (Indochina Time),Wed Jul 23 2025 09:37:07 GMT+0700 (Indochina Time),0,David Pham
68804ad3044872fdf1ac86a1,Emma,Le,emma_le,Ltson123456@,emma@example.com,321 Pine St,Ms.,CONTACT_EMP,Contact Staff,true,true,Sun Mar 10 2024 07:00:00 GMT+0700 (Indochina Time),Wed Jul 23 2025 09:37:07 GMT+0700 (Indochina Time),Wed Jul 23 2025 09:37:07 GMT+0700 (Indochina Time),0,James Bui
68804ad3044872fdf1ac86a2,David,Pham,david_pham,123456,david@example.com,654 Cedar Ave,Mr.,CONTACT_MGR,Contact Manager,false,true,Mon Sep 05 2022 07:00:00 GMT+0700 (Indochina Time),Wed Jul 23 2025 09:37:07 GMT+0700 (Indochina Time),Wed Jul 23 2025 09:37:07 GMT+0700 (Indochina Time),0,""
68804ad3044872fdf1ac86a3,Sophia,Hoang,sophia_hoang,Ltson123456@,sophia@example.com,987 Birch Blvd,Mrs.,CONTACT_EMP,Course Seller,false,false,Sat Jun 01 2024 07:00:00 GMT+0700 (Indochina Time),Wed Jul 23 2025 09:37:07 GMT+0700 (Indochina Time),Wed Jul 23 2025 09:37:07 GMT+0700 (Indochina Time),0,Sophia Hoang
68804ad3044872fdf1ac86a4,Liam,Vo,liam_vo,123456,liam@example.com,852 Maple Ln,Mr.,USER_READ_ONLY,Student,true,false,Fri Jan 10 2025 07:00:00 GMT+0700 (Indochina Time),Wed Jul 23 2025 09:37:07 GMT+0700 (Indochina Time),Wed Jul 23 2025 09:37:07 GMT+0700 (Indochina Time),0,""
68804ad3044872fdf1ac86a5,Olivia,Nguyen,olivia_nguyen,Ltson123456@,olivia@example.com,963 Walnut Dr,Mrs.,SALES_MGR,Learner,false,false,Fri Aug 25 2023 07:00:00 GMT+0700 (Indochina Time),Wed Jul 23 2025 09:37:07 GMT+0700 (Indochina Time),Wed Jul 23 2025 09:37:07 GMT+0700 (Indochina Time),0,Michael Tran
68804ad3044872fdf1ac86a6,James,Bui,james_bui,123456,james@example.com,147 Spruce Ct,Mr.,DIR,System Admin,false,true,Sat Apr 17 2021 07:00:00 GMT+0700 (Indochina Time),Wed Jul 23 2025 09:37:07 GMT+0700 (Indochina Time),Wed Jul 23 2025 09:37:07 GMT+0700 (Indochina Time),0,""
68804ad3044872fdf1ac86a8,Henry,Ngoc,henry_ngoc,Ltson123456@,henry@example.com,369 Aspen Rd,Mrs.,CONTACT_EMP,Contact Support,false,false,Sun Jun 12 2022 07:00:00 GMT+0700 (Indochina Time),Wed Jul 23 2025 09:37:07 GMT+0700 (Indochina Time),Wed Jul 23 2025 09:37:07 GMT+0700 (Indochina Time),0,Michael Tran
68805664566363966c81e100,Truong,Son,sonkl6a3,Ltson123456@,sonltute@gmail.com,Dak Lak,Mr.,DIR,DEV FT,true,false,Wed Jul 23 2025 00:00:00 GMT+0700 (Indochina Time),Wed Jul 23 2025 10:26:28 GMT+0700 (Indochina Time),Wed Jul 23 2025 10:26:28 GMT+0700 (Indochina Time),0,""
68805915fc63b6375e283a0e,My,Linh,yas,Ltson123456@,linhbh2004@gmail.com,Dak Lak,Mrs.,SALES_MGR,"",true,false,David Pham,Wed Jul 16 2025 00:00:00 GMT+0700 (Indochina Time),Wed Jul 23 2025 10:37:57 GMT+0700 (Indochina Time),Wed Jul 23 2025 10:37:57 GMT+0700 (Indochina Time),0
